 Ersan Ilyasova	PHI	48 	27.3 	5.4 	11.9 	45.3 	 	2.1 	5.6 	37.5 	 	1.8 	2.3 	78.4 	 	1.3 	4.8 	6.1 	 	1.7 	1.5 	0.6 	0.3 	2.3 	14.6 	 
 Andre Drummond	DET	48 	30.7 	6.3 	11.8 	53.6 	 	0.0 	0.1 	40.0 	 	1.9 	4.5 	43.5 	 	4.0 	9.7 	13.6 	 	1.1 	2.0 	1.7 	1.2 	3.0 	14.6 	 
 Otto Porter	WAS	48 	33.6 	5.6 	10.4 	53.5 	 	2.0 	4.3 	46.2 	 	1.1 	1.4 	76.8 	 	1.3 	5.2 	6.5 	 	1.6 	0.7 	1.5 	0.6 	2.5 	14.3 	 
 Markieff Morris	WAS	47 	31.9 	5.4 	12.0 	45.0 	 	0.9 	2.6 	35.5 	 	2.6 	3.2 	81.9 	 	1.5 	5.3 	6.8 	 	1.8 	1.9 	1.1 	0.6 	3.3 	14.3 	 
 Ryan Anderson	HOU	49 	30.6 	4.7 	10.9 	43.1 	 	2.8 	6.9 	41.2 	 	2.0 	2.3 	87.4 	 	1.6 	3.5 	5.2 	 	0.9 	0.9 	0.5 	0.2 	2.0 	14.2 	 
 Zach Randolph	MEM	44 	24.2 	6.2 	13.3 	46.3 	 	0.4 	1.3 	28.1 	 	1.5 	2.1 	73.1 	 	2.3 	5.9 	8.2 	 	1.7 	1.3 	0.5 	0.1 	1.9 	14.2 	 
 Jae Crowder	BOS	41 	32.4 	4.9 	10.0 	48.5 	 	2.4 	5.6 	43.0 	 	2.1 	2.4 	87.6 	 	0.6 	4.7 	5.4 	 	2.2 	1.0 	1.0 	0.3 	2.3 	14.2 	 
 Nikola Vucevic	ORL	48 	28.5 	6.3 	13.2 	47.3 	 	0.3 	1.0 	28.0 	 	1.3 	2.0 	63.2 	 	2.2 	7.6 	9.8 	 	2.9 	1.6 	0.9 	1.0 	2.4 	14.0 	 
 Dwight Howard	ATL	44 	29.5 	5.3 	8.3 	63.4 	 	0.0 	0.0 	N/A 	 	3.1 	5.5 	56.3 	 	4.3 	8.5 	12.8 	 	1.3 	2.1 	0.9 	1.2 	3.0 	13.6 	 
 Marcus Morris	DET	48 	32.8 	5.2 	12.6 	41.4 	 	1.5 	4.7 	32.4 	 	1.6 	2.0 	81.1 	 	0.9 	3.5 	4.4 	 	2.0 	1.1 	0.7 	0.3 	2.1 	13.6 	 
